season,gameweek,id,player_name,team_short,position,predicted_points,actual_points,error,abs_error
2025-2026,10,21,Rice,ARS,Midfielder,6.59,13,-6.41,6.41
2025-2026,10,328,Sessegnon,FUL,Midfielder,8.25,14,-5.75,5.75
2025-2026,10,694,Mukiele,SUN,Defender,6.56,1,5.56,5.56
2025-2026,10,241,Caicedo,CHE,Midfielder,5.18,10,-4.82,4.82
2025-2026,10,585,Bentancur,TOT,Midfielder,4.466666666666667,0,4.466666666666667,4.466666666666667
2025-2026,10,169,Gomez,BHA,Midfielder,11.79,16,-4.210000000000001,4.210000000000001
2025-2026,10,457,Casemiro,MUN,Midfielder,8.096666666666666,12,-3.903333333333334,3.903333333333334
2025-2026,10,119,Mbeumo,MUN,Midfielder,5.623333333333333,2,3.623333333333333,3.623333333333333
2025-2026,10,236,Neto,CHE,Midfielder,6.496666666666667,3,3.496666666666667,3.496666666666667
2025-2026,10,272,Lerma,CRY,Midfielder,6.523333333333333,10,-3.4766666666666666,3.4766666666666666
2025-2026,10,8,J.Timber,ARS,Defender,2.53,6,-3.47,3.47
2025-2026,10,226,Chalobah,CHE,Defender,10.46,7,3.460000000000001,3.460000000000001
2025-2026,10,489,J.Murphy,NEW,Midfielder,4.556666666666667,8,-3.4433333333333334,3.4433333333333334
2025-2026,10,673,J.Palhinha,TOT,Midfielder,7.016666666666667,4,3.0166666666666666,3.0166666666666666
2025-2026,10,233,Acheampong,CHE,Defender,2.973333333333333,0,2.973333333333333,2.973333333333333
2025-2026,10,228,Gusto,CHE,Defender,3.07,6,-2.93,2.93
2025-2026,10,348,Rodon,LEE,Defender,3.8433333333333333,1,2.8433333333333333,2.8433333333333333
2025-2026,10,417,Cherki,MCI,Midfielder,7.166666666666667,10,-2.833333333333333,2.833333333333333
2025-2026,10,575,Van de Ven,TOT,Defender,4.823333333333333,2,2.8233333333333333,2.8233333333333333
2025-2026,10,631,Agbadou,WOL,Defender,-0.20666666666666667,-3,2.7933333333333334,2.7933333333333334
2025-2026,10,526,Igor Jesus,NFO,Forward,2.3966666666666665,5,-2.6033333333333335,2.6033333333333335
2025-2026,10,634,Mosquera,WOL,Defender,-0.43,-3,2.57,2.57
2025-2026,10,100,Kroupi.Jr,BOU,Forward,4.47,2,2.4699999999999998,2.4699999999999998
2025-2026,10,670,Roefs,SUN,Goalkeeper,4.45,2,2.45,2.45
2025-2026,10,387,Szoboszlai,LIV,Midfielder,4.406666666666666,2,2.4066666666666663,2.4066666666666663
2025-2026,10,381,M.Salah,LIV,Midfielder,7.6866666666666665,10,-2.3133333333333335,2.3133333333333335
2025-2026,10,225,James,CHE,Defender,9.22,7,2.2200000000000006,2.2200000000000006
2025-2026,10,430,Haaland,MCI,Forward,10.796666666666667,13,-2.203333333333333,2.203333333333333
2025-2026,10,553,Talbi,SUN,Midfielder,3.2,1,2.2,2.2
2025-2026,10,716,Savona,NFO,Defender,4.883333333333334,7,-2.1166666666666663,2.1166666666666663
2025-2026,10,708,M.Fernandes,WHU,Midfielder,4.91,7,-2.09,2.09
2025-2026,10,450,Cunha,MUN,Midfielder,6.056666666666667,4,2.0566666666666666,2.0566666666666666
2025-2026,10,532,Hume,SUN,Defender,3.026666666666667,1,2.026666666666667,2.026666666666667
